Date,EDP,ITSA,PETR,IBOV
2015-02-02,8.795125961303711,6.545878887176514,8.789999961853027,46.27000045776367
2015-02-03,8.479605674743652,6.75863790512085,9.970000267028809,47.63999938964844
2015-02-04,8.321846008300781,7.006856918334961,10.020000457763672,47.77000045776367
2015-02-05,8.183806419372559,7.006856918334961,9.829999923706055,47.880001068115234
2015-02-06,8.085206031799316,7.0919599533081055,9.119999885559082,47.29999923706055
2015-02-09,8.124646186828613,7.04231595993042,9.399999618530273,47.91999816894531
2015-02-10,8.026045799255371,6.95012092590332,8.90999984741211,47.15999984741211
2015-02-11,7.8682861328125,6.681841850280762,9.079999923706055,46.95000076293945
2015-02-12,8.20352554321289,6.767141819000244,9.449999809265137,48.130001068115234
2015-02-13,8.381006240844727,7.001718044281006,10.029999732971191,49.38999938964844
2015-02-18,8.578206062316895,7.108343124389648,10.039999961853027,49.90999984741211
2015-02-19,8.696525573730469,7.094126224517822,9.710000038146973,49.79999923706055
2015-02-20,8.489465713500977,7.108343124389648,9.640000343322754,49.84000015258789
2015-02-23,8.479605674743652,7.1581010818481445,9.5,49.79999923706055
2015-02-24,8.528905868530273,7.222075939178467,9.899999618530273,50.40999984741211
2015-02-25,8.706385612487793,7.250510215759277,9.399999618530273,50.36000061035156
2015-02-26,9.327567100524902,7.2931599617004395,9.229999542236328,50.310001373291016
2015-02-27,8.874006271362305,7.172317981719971,9.550000190734863,50.0099983215332
2015-03-02,8.538765907287598,7.101233959197998,9.420000076293945,49.59000015258789
2015-03-03,8.479605674743652,7.115450859069824,9.569999694824219,49.83000183105469
2015-03-04,8.430306434631348,7.058584213256836,9.270000457763672,49.06999969482422
2015-03-05,8.34156608581543,7.030150890350342,9.239999771118164,48.95000076293945
2015-03-06,8.39086627960205,6.880876064300537,9.25,48.54999923706055
2015-03-09,8.154226303100586,6.703166961669922,8.920000076293945,47.75
2015-03-10,8.479605674743652,6.539675235748291,8.520000457763672,46.95000076293945
2015-03-11,8.56834602355957,6.760034084320068,8.739999771118164,47.52000045776367
2015-03-12,8.676806449890137,6.788466930389404,8.470000267028809,47.45000076293945
2015-03-13,8.578206062316895,6.738708972930908,8.34000015258789,47.209999084472656
2015-03-16,8.992325782775879,6.760034084320068,8.390000343322754,47.380001068115234
2015-03-17,8.97260570526123,6.923525810241699,8.859999656677246,48.91999816894531
2015-03-18,9.505046844482422,7.193643093109131,9.199999809265137,50.099998474121094
2015-03-19,9.41630744934082,7.200750827789307,8.920000076293945,49.54999923706055
2015-03-20,9.948746681213379,7.172317981719971,9.220000267028809,50.31999969482422
2015-03-23,9.938886642456055,7.16520881652832,9.329999923706055,50.43000030517578
2015-03-24,10.145947456359863,7.1509928703308105,9.420000076293945,50.040000915527344
2015-03-25,9.948746681213379,7.200750827789307,9.800000190734863,50.290000915527344
2015-03-26,9.712106704711914,6.9946088790893555,9.329999923706055,49.11000061035156
2015-03-27,9.613507270812988,6.859550952911377,9.359999656677246,48.65999984741211
2015-03-30,10.323427200317383,7.072801113128662,9.710000038146973,49.81999969482422
2015-03-31,10.17552661895752,7.094126224517822,9.65999984741211,49.5
2015-04-01,10.747407913208008,7.3429179191589355,10.260000228881836,50.79999923706055
2015-04-02,10.560068130493164,7.470868110656738,10.6899995803833,51.5
2015-04-06,11.131948471069336,7.605926990509033,10.710000038146973,52.099998474121094
2015-04-07,10.796708106994629,7.591710090637207,10.920000076293945,52.20000076293945
2015-04-08,10.717827796936035,7.577493190765381,10.569999694824219,52.220001220703125
2015-04-09,10.84600830078125,7.435326099395752,11.579999923706055,52.27000045776367
2015-04-10,10.767127990722656,7.4850850105285645,11.8100004196167,52.650001525878906
2015-04-13,10.668527603149414,7.477975845336914,12.270000457763672,52.61000061035156
2015-04-14,10.579788208007812,7.442434787750244,12.460000038146973,52.529998779296875
2015-04-15,10.836148262023926,7.556168079376221,13.34000015258789,53.25
2015-04-16,10.84600830078125,7.520627021789551,12.979999542236328,53.029998779296875
2015-04-17,10.688247680664062,7.435326099395752,12.949999809265137,52.45000076293945
2015-04-20,10.796708106994629,7.357134819030762,13.069999694824219,52.2400016784668
2015-04-22,11.092508316040039,7.414000988006592,13.0,53.029998779296875
2015-04-23,11.220687866210938,7.499301910400391,12.869999885559082,54.040000915527344
2015-04-24,11.388307571411133,7.748094081878662,13.220000267028809,54.97999954223633
2015-04-27,11.102368354797363,7.684117794036865,12.520000457763672,53.959999084472656
2015-04-28,11.309428215026855,7.634359836578369,12.770000457763672,54.20000076293945
2015-04-29,11.230547904968262,7.598817825317383,12.819999694824219,53.68000030517578
2015-04-30,11.289708137512207,7.541952133178711,13.0600004196167,54.619998931884766
2015-05-04,11.230547904968262,7.613035202026367,13.789999961853027,55.83000183105469
2015-05-05,11.87144947052002,7.522047996520996,14.430000305175781,56.41999816894531
2015-05-06,11.634807586669922,7.4438557624816895,13.789999961853027,55.43000030517578
2015-05-07,11.299568176269531,7.490771770477295,13.65999984741211,55.31999969482422
2015-05-08,11.417887687683105,7.592421054840088,13.510000228881836,55.5
2015-05-11,11.467187881469727,7.615878105163574,13.770000457763672,55.52000045776367
2015-05-12,11.348868370056152,7.545506000518799,13.729999542236328,55.18000030517578
2015-05-13,10.885448455810547,7.404760837554932,13.979999542236328,54.77000045776367
2015-05-14,10.855868339538574,7.467313766479492,13.899999618530273,55.06999969482422
2015-05-15,11.07278823852539,7.545506000518799,14.039999961853027,55.59000015258789
2015-05-18,11.07278823852539,7.451675891876221,13.699999809265137,54.4900016784668
